Sample_ID	donor	prep_batch	timepoint	siRNA_target	siRNA1	siRNA2	siRNA12	PercDup	PercGC	TotalSeq	PercUniquelyMapped	PercMultiMapped	PercUnmapped	RawData
RNA_CD34_9_d4_4_SA1_4094_AFMN3	9	3	4	SA1	SA1_4094		SA1_4094	51.4825996048523	50	20006312	89.91	9.16	0.88	RNA_CD34_9_d4_4_SA1_4094_AFMN3_S3_R1_001.fastq.gz
RNA_CD34_9_d4_5_SA1_2259_4094_AFMN3	9	3	4	SA1	poolSA1		poolSA1	58.7153603201228	50	32486053	90.02	9.1	0.83	RNA_CD34_9_d4_5_SA1_2259_4094_AFMN3_S4_R1_001.fastq.gz
RNA_CD34_9_d4_6_SA2_529_AFMN3	9	3	4	SA2	SA2_529		SA2_529	53.9064753956456	49	21781426	90.86	8.31	0.78	RNA_CD34_9_d4_6_SA2_529_AFMN3_S5_R1_001.fastq.gz
RNA_CD34_9_d4_8_SA2_1252_AFMN3	9	3	4	SA2	SA2_1252		SA2_1252	57.7872055242428	49	29918482	90.89	8.07	0.98	RNA_CD34_9_d4_8_SA2_1252_AFMN3_S7_R1_001.fastq.gz
RNA_CD34_9_d4_9_SA2_529_549_1252_AFMN3	9	3	4	SA2	poolSA2		poolSA2	51.6688365523888	49	17344071	88.72	10.25	0.97	RNA_CD34_9_d4_9_SA2_529_549_1252_AFMN3_S8_R1_001.fastq.gz
RNA_CD34_9_d4_10_SA1_2259_SA2_529_AFMN3	9	3	4	SA1_SA2	SA1_2259	SA2_529	SA1_2259_SA2_529	56.5544538225091	50	26346172	90.05	8.76	1.13	RNA_CD34_9_d4_10_SA1_2259_SA2_529_AFMN3_S9_R1_001.fastq.gz
RNA_CD34_9_d4_12_SA1_2259_SA2_1252_AFMN3	9	3	4	SA1_SA2	SA1_2259	SA2_1252	SA1_2259_SA2_1252	49.1576476306505	50	14631731	89.79	9.26	0.9	RNA_CD34_9_d4_12_SA1_2259_SA2_1252_AFMN3_S11_R1_001.fastq.gz
RNA_CD34_9_d4_13_SA1_4094_SA2_529_AFMN3	9	3	4	SA1_SA2	SA1_4094	SA2_529	SA1_4094_SA2_529	50.3199467378775	50	14543707	90.37	8.7	0.87	RNA_CD34_9_d4_13_SA1_4094_SA2_529_AFMN3_S12_R1_001.fastq.gz
RNA_CD34_9_d4_15_SA1_4094_SA2_1252_AFMN3	9	3	4	SA1_SA2	SA1_4094	SA2_1252	SA1_4094_SA2_1252	54.6244174613322	51	21333752	89.89	8.47	1.49	RNA_CD34_9_d4_15_SA1_4094_SA2_1252_AFMN3_S14_R1_001.fastq.gz
RNA_CD34_9_d4_18_RAD21_2031_AFMN3	9	3	4	RAD21	RAD21_2031		RAD21_2031	57.0000703448963	51	29030321	89.92	9.17	0.86	RNA_CD34_9_d4_18_RAD21_2031_AFMN3_S17_R1_001.fastq.gz
RNA_CD34_9_d4_19_RAD21_467_2031_AFMN3	9	3	4	RAD21	RAD21pool		RAD21pool	56.6333699597211	51	28332915	89.54	9.36	1.05	RNA_CD34_9_d4_19_RAD21_467_2031_AFMN3_S18_R1_001.fastq.gz
RNA_CD34_9_d4_23_siCtrl_AFMN3	9	3	4	CTRL	siLuc		siLuc	50.7469584210482	50	16017191	90.1	9.08	0.77	RNA_CD34_9_d4_23_siCtrl_AFMN3_S22_R1_001.fastq.gz
RNA_CD34_9_d4_25_siCtrl_2x_AFMN3	9	3	4	CTRL	siLuc	siLuc	siLuc2x	53.6280705156742	49	19834329	90.54	8.58	0.83	RNA_CD34_9_d4_25_siCtrl_2x_AFMN3_S23_R1_001.fastq.gz
RNA_CD34_9_d4_26_Mock_AFMN3	9	3	4	CTRL	Mock		Mock	54.7510236281142	50	22728241	89.89	9.13	0.92	RNA_CD34_9_d4_26_Mock_AFMN3_S24_R1_001.fastq.gz
RNA_CD34_13_d4_1_untreated_AFMN4	13	4	4	CTRL	Untr		Untr	63.156652504789	51	24488732	88.99	9.56	1.4	RNA_CD34_13_d4_1_untreated_AFMN4_S1_R1_001.fastq.gz
RNA_CD34_13_d4_2_SA1_2259_AFMN4	13	4	4	SA1	SA1_2259		SA1_2259	53.0033732701011	51	13002649	90.29	9.23	0.41	RNA_CD34_13_d4_2_SA1_2259_AFMN4_S2_R1_001.fastq.gz
RNA_CD34_13_d4_3_SA1_4094_AFMN4	13	4	4	SA1	SA1_4094		SA1_4094	51.9930654726733	51	12976267	89.65	9.65	0.65	RNA_CD34_13_d4_3_SA1_4094_AFMN4_S3_R1_001.fastq.gz
RNA_CD34_13_d4_4_SA1_2259_4094_AFMN4	13	4	4	SA1	poolSA1		poolSA1	50.0744108916772	51	11332309	90.38	9.1	0.47	RNA_CD34_13_d4_4_SA1_2259_4094_AFMN4_S4_R1_001.fastq.gz
RNA_CD34_13_d4_5_SA2_529_AFMN4	13	4	4	SA2	SA2_529		SA2_529	52.1408280192095	51	12182025	90.8	8.75	0.4	RNA_CD34_13_d4_5_SA2_529_AFMN4_S5_R1_001.fastq.gz
RNA_CD34_13_d4_7_SA2_1252_AFMN4	13	4	4	SA2	SA2_1252		SA2_1252	50.5748004624581	50	10488903	90.58	8.86	0.51	RNA_CD34_13_d4_7_SA2_1252_AFMN4_S7_R1_001.fastq.gz
RNA_CD34_13_d4_8_SA2_529_549_1252_AFMN4	13	4	4	SA2	poolSA2		poolSA2	54.523745620039	51	14784353	90.48	8.8	0.67	RNA_CD34_13_d4_8_SA2_529_549_1252_AFMN4_S8_R1_001.fastq.gz
RNA_CD34_13_d4_9_SA1_2259_SA2_529_AFMN4	13	4	4	SA1_SA2	SA1_2259	SA2_529	SA1_2259_SA2_529	52.4369524163689	51	12745132	91.4	8	0.55	RNA_CD34_13_d4_9_SA1_2259_SA2_529_AFMN4_S9_R1_001.fastq.gz
RNA_CD34_13_d4_11_SA1_2259_SA2_1252_AFMN4	13	4	4	SA1_SA2	SA1_2259	SA2_1252	SA1_2259_SA2_1252	52.0489033636265	51	14050192	90.64	8.72	0.58	RNA_CD34_13_d4_11_SA1_2259_SA2_1252_AFMN4_S11_R1_001.fastq.gz
RNA_CD34_13_d4_12_SA1_4094_SA2_529_AFMN4	13	4	4	SA1_SA2	SA1_4094	SA2_529	SA1_4094_SA2_529	55.8780341380549	50	16561021	90.61	8.87	0.47	RNA_CD34_13_d4_12_SA1_4094_SA2_529_AFMN4_S12_R1_001.fastq.gz
RNA_CD34_13_d4_14_SA1_4094_SA2_1252_AFMN4	13	4	4	SA1_SA2	SA1_4094	SA2_1252	SA1_4094_SA2_1252	56.5219516150504	51	18769722	90.61	8.79	0.54	RNA_CD34_13_d4_14_SA1_4094_SA2_1252_AFMN4_S14_R1_001.fastq.gz
RNA_CD34_13_d4_15_SA1_2259_4094_SA2_529_549_1252_AFMN4	13	4	4	SA1_SA2	poolSA1	poolSA2	poolSA1_poolSA2	55.83737972105	51	15749774	90.2	9.11	0.64	RNA_CD34_13_d4_15_SA1_2259_4094_SA2_529_549_1252_AFMN4_S15_R1_001.fastq.gz
RNA_CD34_13_d4_16_RAD21_467_AFMN4	13	4	4	RAD21	RAD21_467		RAD21_467	54.4743422134027	51	14203504	90.32	9.14	0.49	RNA_CD34_13_d4_16_RAD21_467_AFMN4_S16_R1_001.fastq.gz
RNA_CD34_13_d4_17_RAD21_2031_AFMN4	13	4	4	RAD21	RAD21_2031		RAD21_2031	52.2157758478024	51	12546954	90.34	9.2	0.4	RNA_CD34_13_d4_17_RAD21_2031_AFMN4_S17_R1_001.fastq.gz
RNA_CD34_13_d4_18_RAD21_467_2031_AFMN4	13	4	4	RAD21	RAD21pool		RAD21pool	55.8858469313552	50	12043728	90.31	8.89	0.75	RNA_CD34_13_d4_18_RAD21_467_2031_AFMN4_S18_R1_001.fastq.gz
RNA_CD34_13_d4_22_siCtrl_AFMN4	13	4	4	CTRL	siLuc		siLuc	49.3377883613818	51	11586529	90.4	9.17	0.37	RNA_CD34_13_d4_22_siCtrl_AFMN4_S22_R1_001.fastq.gz
RNA_CD34_13_d4_23_siCtrl_2x_AFMN4	13	4	4	CTRL	siLuc	siLuc	siLuc2x	53.3851087357757	50	11758850	90.43	8.53	0.99	RNA_CD34_13_d4_23_siCtrl_2x_AFMN4_S23_R1_001.fastq.gz
RNA_CD34_13_d4_24_Mock_AFMN4	13	4	4	CTRL	Mock		Mock	55.8933990746108	51	15411132	90.32	9.08	0.54	RNA_CD34_13_d4_24_Mock_AFMN4_S24_R1_001.fastq.gz
