donor	Cell_type	group	sample_Source	Library_prep_location	Restriction_enzyme	read1	read2
21	cordbloodCD34	siCtrl	Regensburg	Regensburg	DPNII	siCtrl_21_R1.fastq.gz	siCtrl_21_R2.fastq.gz
22	cordbloodCD34	siCtrl	Regensburg	Regensburg	DPNII	siCtrl_22_R1.fastq.gz	siCtrl_22_R2.fastq.gz
27	cordbloodCD34	siCtrl	Regensburg	Regensburg	DPNII	siCtrl_27_R1.fastq.gz	siCtrl_27_R2.fastq.gz
28	cordbloodCD34	siCtrl	Regensburg	Regensburg	DPNII	siCtrl_28_R1.fastq.gz	siCtrl_28_R2.fastq.gz
18	cordbloodCD34	RAD21KD	Regensburg	Regensburg	DPNII	RAD21KD_18_R1.fastq.gz	RAD21KD_18_R2.fastq.gz
20	cordbloodCD34	RAD21KD	Regensburg	Regensburg	DPNII	RAD21KD_20_R1.fastq.gz	RAD21KD_20_R2.fastq.gz
22	cordbloodCD34	RAD21KD	Regensburg	Regensburg	DPNII	RAD21KD_22_R1.fastq.gz	RAD21KD_22_R2.fastq.gz
27	cordbloodCD34	RAD21KD	Regensburg	Regensburg	DPNII	RAD21KD_27_R1.fastq.gz	RAD21KD_27_R2.fastq.gz
28	cordbloodCD34	RAD21KD	Regensburg	Regensburg	DPNII	RAD21KD_28_R1.fastq.gz	RAD21KD_28_R2.fastq.gz
14	cordbloodCD34	SA1KD	Regensburg	Regensburg	DPNII	SA1KD_14_R1.fastq.gz	SA1KD_14_R2.fastq.gz
17	cordbloodCD34	SA1KD	Regensburg	Regensburg	DPNII	SA1KD_17_R1.fastq.gz	SA1KD_17_R2.fastq.gz
20	cordbloodCD34	SA1KD	Regensburg	Regensburg	DPNII	SA1KD_20_R1.fastq.gz	SA1KD_20_R2.fastq.gz
21	cordbloodCD34	SA1KD	Regensburg	Regensburg	DPNII	SA1KD_21_R1.fastq.gz	SA1KD_21_R2.fastq.gz
27	cordbloodCD34	SA1KD	Regensburg	Regensburg	DPNII	SA1KD_27_R1.fastq.gz	SA1KD_27_R2.fastq.gz
28	cordbloodCD34	SA1KD	Regensburg	Regensburg	DPNII	SA1KD_28_R1.fastq.gz	SA1KD_28_R2.fastq.gz
14	cordbloodCD34	SA2KD	Regensburg	Regensburg	DPNII	SA2KD_14_R1.fastq.gz	SA2KD_14_R2.fastq.gz
17	cordbloodCD34	SA2KD	Regensburg	Regensburg	DPNII	SA2KD_17_R1.fastq.gz	SA2KD_17_R2.fastq.gz
20	cordbloodCD34	SA2KD	Regensburg	Regensburg	DPNII	SA2KD_20_R1.fastq.gz	SA2KD_20_R2.fastq.gz
21	cordbloodCD34	SA2KD	Regensburg	Regensburg	DPNII	SA2KD_21_R1.fastq.gz	SA2KD_21_R2.fastq.gz
22	cordbloodCD34	SA2KD	Regensburg	Regensburg	DPNII	SA2KD_22_R1.fastq.gz	SA2KD_22_R2.fastq.gz
28	cordbloodCD34	SA2KD	Regensburg	Regensburg	DPNII	SA2KD_28_R1.fastq.gz	SA2KD_28_R2.fastq.gz
