Sample	group	donor	transfection	Cells_d0	Cells_d4	expansion	donortreat	CFU	RNAseq	H3K27ac	ATAC	RAD21	CTCF	SA1	SA2	MED12	HiC	PU1
CD34_9_5	STAG1KD	9	SA1_pool	1200000	1925000	1.60416666666667	9_SA1_pool	0	1	0	0	0	0	0	0	0	0	0
CD34_13_2	STAG1KD	13	SA1_2259	1200000	2722500	2.26875	13_SA1_2259	0	1	0	0	0	0	0	0	0	0	0
CD34_13_3	STAG1KD	13	SA1_4094	1200000	2145000	1.7875	13_SA1_4094	0	1	0	0	0	0	0	0	0	0	0
CD34_13_4	STAG1KD	13	SA1_pool	1200000	2700000	2.25	13_SA1_pool	1	1	0	0	0	0	0	0	0	0	0
CD34_14_1	STAG1KD	14	SA1_pool	12000000	47750000	3.97916666666667	14_SA1_pool	1	0	1	1	1	1	1	1	1	1	0
CD34_16_1	STAG1KD	16	SA1_pool	12000000	17400000	1.45	16_SA1_pool	1	0	0	0	0	0	0	0	0	0	0
CD34_17_1	STAG1KD	17	SA1_pool	12000000	35938000	2.99483333333333	17_SA1_pool	1	0	1	1	1	1	1	1	1	1	1
CD34_20_4	STAG1KD	20	SA1_pool	12000000	62160000	5.18	20_SA1_pool	1	0	0	1	0	0	0	0	0	1	0
CD34_21_2	STAG1KD	21	SA1_pool	12000000	50140000	4.17833333333333	21_SA1_pool	0	0	1	1	1	1	1	1	1	1	1
CD34_27_3	STAG1KD	27	SA1_pool	12000000	25760000	2.14666666666667	27_SA1_pool	0	0	1	1	1	1	1	1	1	1	1
CD34_28_4	STAG1KD	28	SA1_pool	12000000	19320000	1.61	28_SA1_pool	0	0	1	1	1	1	1	1	1	1	0
CD34_6_9	STAG1_2KD	6	SA1_2259_SA2_1252	1800000	2050000	1.13888888888889	6_SA1_2259_SA2_1252	1	1	0	0	0	0	0	0	0	0	0
CD34_7_11	STAG1_2KD	7	SA1_2259_SA2_529	1200000	1000000	0.833333333333333	7_SA1_2259_SA2_529	1	0	0	0	0	0	0	0	0	0	0
CD34_7_16	STAG1_2KD	7	SA1_4094_SA2_529	1200000	300000	0.25	7_SA1_4094_SA2_529	1	0	0	0	0	0	0	0	0	0	0
CD34_7_13	STAG1_2KD	7	SA1_2259_SA2_1252	1200000	760000	0.633333333333333	7_SA1_2259_SA2_1252	1	0	0	0	0	0	0	0	0	0	0
CD34_7_18	STAG1_2KD	7	SA1_4094_SA2_1252	1200000	680000	0.566666666666667	7_SA1_4094_SA2_1252	1	0	0	0	0	0	0	0	0	0	0
CD34_9_10	STAG1_2KD	9	SA1_2259_SA2_529	1200000	1182500	0.985416666666667	9_SA1_2259_SA2_529	0	1	0	0	0	0	0	0	0	0	0
CD34_9_12	STAG1_2KD	9	SA1_2259_SA2_1252	1200000	880000	0.733333333333333	9_SA1_2259_SA2_1252	0	1	0	0	0	0	0	0	0	0	0
CD34_9_13	STAG1_2KD	9	SA1_4094_SA2_529	1200000	1155000	0.9625	9_SA1_4094_SA2_529	0	1	0	0	0	0	0	0	0	0	0
CD34_9_15	STAG1_2KD	9	SA1_4094_SA2_1252	1200000	987500	0.822916666666667	9_SA1_4094_SA2_1252	0	1	0	0	0	0	0	0	0	0	0
CD34_9_16	STAG1_2KD	9	SA1_SA2_pool	1200000	1425000	1.1875	9_SA1_SA2_pool	0	0	0	0	0	0	0	0	0	0	0
CD34_13_11	STAG1_2KD	13	SA1_2259_SA2_1252	1200000	3142500	2.61875	13_SA1_2259_SA2_1252	0	1	0	0	0	0	0	0	0	0	0
CD34_13_12	STAG1_2KD	13	SA1_4094_SA2_529	1200000	2205000	1.8375	13_SA1_4094_SA2_529	0	1	0	0	0	0	0	0	0	0	0
CD34_13_14	STAG1_2KD	13	SA1_4094_SA2_1252	1200000	2340000	1.95	13_SA1_4094_SA2_1252	1	1	0	0	0	0	0	0	0	0	0
CD34_13_15	STAG1_2KD	13	SA1_SA2_pool	1200000	2355000	1.9625	13_SA1_SA2_pool	0	1	0	0	0	0	0	0	0	0	0
CD34_13_9	STAG1_2KD	13	SA1_2259_SA2_529	1200000	1552500	1.29375	13_SA1_2259_SA2_529	0	1	0	0	0	0	0	0	0	0	0
CD34_18_2	STAG1_2KD	18	SA1_SA2_pool	18000000	22897500	1.27208333333333	18_SA1_SA2_pool	1	0	0	1	0	0	0	0	0	0	0
CD34_20_2	STAG1_2KD	20	SA1_SA2_pool	18000000	41940000	2.33	20_SA1_SA2_pool	1	0	0	1	0	0	0	0	0	0	0
CD34_28_2	STAG1_2KD	28	SA1_SA2_pool	18000000	22100000	1.22777777777778	28_SA1_SA2_pool	0	0	0	1	0	0	0	0	0	0	0
CD34_6_8	STAG2KD	6	SA2_1252	1800000	1880000	1.04444444444444	6_SA2_1252	1	1	0	0	0	0	0	0	0	0	0
CD34_7_6	STAG2KD	7	SA2_529	1200000	2330000	1.94166666666667	7_SA2_529	1	0	0	0	0	0	0	0	0	0	0
CD34_7_8	STAG2KD	7	SA2_1252	1200000	1610000	1.34166666666667	7_SA2_1252	1	1	0	0	0	0	0	0	0	0	0
CD34_9_6	STAG2KD	9	SA2_529	1200000	1650000	1.375	9_SA2_529	0	1	0	0	0	0	0	0	0	0	0
CD34_9_8	STAG2KD	9	SA2_1252	1200000	1155000	0.9625	9_SA2_1252	0	1	0	0	0	0	0	0	0	0	0
CD34_9_9	STAG2KD	9	SA2_pool	1200000	701250	0.584375	9_SA2_pool	0	1	0	0	0	0	0	0	0	0	0
CD34_13_5	STAG2KD	13	SA2_529	1200000	2865000	2.3875	13_SA2_529	1	1	0	0	0	0	0	0	0	0	0
CD34_13_7	STAG2KD	13	SA2_1252	1200000	2760000	2.3	13_SA2_1252	1	1	0	0	0	0	0	0	0	0	0
CD34_13_8	STAG2KD	13	SA2_pool	1200000	2790000	2.325	13_SA2_pool	1	1	0	0	0	0	0	0	0	0	0
CD34_14_2	STAG2KD	14	SA2_pool	12000000	37125000	3.09375	14_SA2_pool	1	0	1	1	1	1	1	1	1	1	1
CD34_16_2	STAG2KD	16	SA2_pool	12000000	19800000	1.65	16_SA2_pool	1	0	0	0	0	0	0	0	0	0	0
CD34_17_2	STAG2KD	17	SA2_pool	12000000	19824000	1.652	17_SA2_pool	1	0	1	1	1	1	1	1	1	1	1
CD34_20_5	STAG2KD	20	SA2_pool	12000000	49680000	4.14	20_SA2_pool	1	0	1	1	1	1	0	1	0	1	1
CD34_21_3	STAG2KD	21	SA2_pool	12000000	24380000	2.03166666666667	21_SA2_pool	0	0	1	1	1	1	1	1	1	1	0
CD34_22_2	STAG2KD	22	SA2_pool	12000000	46920000	3.91	22_SA2_pool	0	0	1	1	1	1	1	1	1	1	1
CD34_28_5	STAG2KD	28	SA2_pool	12000000	18860000	1.57166666666667	28_SA2_pool	0	0	1	1	1	1	0	1	1	1	0
CD34_31_2	STAG2KD	31	SA2_pool	18000000	40946000	2.27477777777778	31_SA2_pool	1	0	0	0	0	0	0	0	0	0	0
